target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
C2019_F1_2022S-01,2022-11-13 12:59:20.014,2022-11-13 13:26:20.014,27.0,1h27m08.74s,-24d55m01.5s,{'filter': 'R'}
TransitionBlock,2022-11-13 13:26:20.014,2022-11-13 13:27:40.014,1.33,,,[]
C2020_T2_2022S-01,2022-11-13 13:27:40.014,2022-11-13 13:55:20.014,27.67,22h34m33.81s,-39d00m56.7s,{'filter': 'R'}
TransitionBlock,2022-11-13 13:55:20.014,2022-11-13 14:01:20.014,6.0,,,['filter:R to V']
2022xix2022S-05,2022-11-13 14:01:20.014,2022-11-13 14:07:00.014,5.67,4h15m07.435008s,-0d55m59.73996s,{'filter': 'V'}
TransitionBlock,2022-11-13 14:07:00.014,2022-11-13 14:13:00.014,6.0,,,['filter:V to R']
C2019_E3_2022S-01,2022-11-13 14:13:20.018,2022-11-13 14:40:40.018,27.33,8h07m57.51s,-72d46m09.4s,{'filter': 'R'}
TransitionBlock,2022-11-13 14:40:40.018,2022-11-13 14:42:00.018,1.33,,,[]
C2021_G2_2022S-01,2022-11-13 14:42:20.019,2022-11-13 15:09:00.019,26.67,9h11m39.28s,-33d43m43.7s,{'filter': 'R'}
TransitionBlock,2022-11-13 15:09:00.019,2022-11-13 15:10:20.019,1.33,,,[]
C2021_S3_2022S-01,2022-11-13 15:10:40.020,2022-11-13 15:37:00.020,26.33,6h15m43.97s,-34d13m36.9s,{'filter': 'R'}
TransitionBlock,2022-11-13 15:37:00.020,2022-11-13 15:38:40.020,1.67,,,[]
2022xix2022S-05,2022-11-13 15:38:40.020,2022-11-13 15:44:20.020,5.67,4h15m07.435008s,-0d55m59.73996s,{'filter': 'R'}
TransitionBlock,2022-11-13 15:44:20.020,2022-11-13 15:47:40.020,3.33,,,['filter:R to V']
2022wpy2022S-05,2022-11-13 15:47:40.020,2022-11-13 15:53:20.020,5.67,4h46m28.017s,-4d47m23.57988s,{'filter': 'V'}
TransitionBlock,2022-11-13 15:53:20.020,2022-11-13 15:56:20.020,3.0,,,['filter:V to R']
2022wpy2022S-05,2022-11-13 15:56:20.020,2022-11-13 16:02:00.020,5.67,4h46m28.017s,-4d47m23.57988s,{'filter': 'R'}
TransitionBlock,2022-11-13 16:02:00.020,2022-11-13 16:04:20.020,2.33,,,[]
97P_2022S-01,2022-11-13 16:05:20.022,2022-11-13 16:31:00.022,25.67,9h13m29.09s,-1d27m05.9s,{'filter': 'R'}
