target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_S1_22S01,2025-01-26 10:39:20.006,2025-01-26 23:39:20.006000,2025-01-26 10:58:40.006,2025-01-26 23:58:40.006000,19.333333333333293,6h12m08.94s,-28d50m39.4s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 1.6}",60,18
TransitionBlock,2025-01-26 10:58:40.006,2025-01-26 23:58:40.006000,2025-01-26 10:59:00.006,2025-01-26 23:59:00.006000,0.3333333333333588,,,['filter:g to r'],,
C2024_S1_22S01,2025-01-26 10:59:00.006,2025-01-26 23:59:00.006000,2025-01-26 11:18:20.006,2025-01-27 00:18:20.006000,19.333333333333293,6h12m08.94s,-28d50m39.4s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 1.6}",60,18
TransitionBlock,2025-01-26 11:18:20.006,2025-01-27 00:18:20.006000,2025-01-26 11:18:40.006,2025-01-27 00:18:40.006000,0.3333333333333588,,,['filter:r to i'],,
C2024_S1_22S01,2025-01-26 11:18:40.006,2025-01-27 00:18:40.006000,2025-01-26 11:38:00.006,2025-01-27 00:38:00.006000,19.333333333333293,6h12m08.94s,-28d50m39.4s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 1.6}",60,18
TransitionBlock,2025-01-26 11:38:00.006,2025-01-27 00:38:00.006000,2025-01-26 11:39:20.006,2025-01-27 00:39:20.006000,1.3333333333333552,,,['filter:i to g'],,
C2022_QE78_22S01,2025-01-26 11:39:20.006,2025-01-27 00:39:20.006000,2025-01-26 11:51:40.006,2025-01-27 00:51:40.006000,12.333333333333316,6h20m52.46s,+7d09m21.9s,"{'filter': 'g', 'magnitude': 15, 'rate (""/min)': 0.3}",20,30
TransitionBlock,2025-01-26 11:51:40.006,2025-01-27 00:51:40.006000,2025-01-26 11:52:40.006,2025-01-27 00:52:40.006000,0.9999999999999964,,,[],,
C2022_U3_22S01,2025-01-26 11:53:20.013,2025-01-27 00:53:20.013000,2025-01-26 12:12:40.013,2025-01-27 01:12:40.013000,19.333333333333293,7h47m48.26s,-0d33m40.9s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.32}",60,18
TransitionBlock,2025-01-26 12:12:40.013,2025-01-27 01:12:40.013000,2025-01-26 12:13:00.013,2025-01-27 01:13:00.013000,0.33333333333327886,,,['filter:g to r'],,
C2022_U3_22S01,2025-01-26 12:13:00.013,2025-01-27 01:13:00.013000,2025-01-26 12:32:20.013,2025-01-27 01:32:20.013000,19.33333333333337,7h47m48.26s,-0d33m40.9s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.32}",60,18
TransitionBlock,2025-01-26 12:32:20.013,2025-01-27 01:32:20.013000,2025-01-26 12:32:40.013,2025-01-27 01:32:40.013000,0.33333333333327886,,,['filter:r to i'],,
C2022_U3_22S01,2025-01-26 12:32:40.013,2025-01-27 01:32:40.013000,2025-01-26 12:52:00.013,2025-01-27 01:52:00.013000,19.33333333333337,7h47m48.26s,-0d33m40.9s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.32}",60,18
TransitionBlock,2025-01-26 12:52:00.013,2025-01-27 01:52:00.013000,2025-01-26 12:55:20.013,2025-01-27 01:55:20.013000,3.333333333333268,,,['filter:i to g'],,
C2019_E3_22S01,2025-01-26 12:55:20.013,2025-01-27 01:55:20.013000,2025-01-26 13:14:40.013,2025-01-27 02:14:40.013000,19.33333333333337,0h45m42.43s,-60d18m40.6s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.29}",60,18
TransitionBlock,2025-01-26 13:14:40.013,2025-01-27 02:14:40.013000,2025-01-26 13:18:00.013,2025-01-27 02:18:00.013000,3.333333333333428,,,['filter:g to r'],,
C2022_QE78_22S01,2025-01-26 13:18:00.013,2025-01-27 02:18:00.013000,2025-01-26 13:30:20.013,2025-01-27 02:30:20.013000,12.333333333333236,6h20m52.46s,+7d09m21.9s,"{'filter': 'r', 'magnitude': 15, 'rate (""/min)': 0.3}",20,30
TransitionBlock,2025-01-26 13:30:20.013,2025-01-27 02:30:20.013000,2025-01-26 13:30:40.013,2025-01-27 02:30:40.013000,0.33333333333327886,,,['filter:r to i'],,
C2022_QE78_22S01,2025-01-26 13:30:40.013,2025-01-27 02:30:40.013000,2025-01-26 13:43:00.013,2025-01-27 02:43:00.013000,12.333333333333236,6h20m52.46s,+7d09m21.9s,"{'filter': 'i', 'magnitude': 15, 'rate (""/min)': 0.3}",20,30
TransitionBlock,2025-01-26 13:43:00.013,2025-01-27 02:43:00.013000,2025-01-26 13:45:00.013,2025-01-27 02:45:00.013000,1.999999999999993,,,[],,
29P_22S01,2025-01-26 13:56:00.017,2025-01-27 02:56:00.017000,2025-01-26 14:10:20.017,2025-01-27 03:10:20.017000,14.33333333333323,10h03m18.06s,+9d08m42s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.25}",30,25
TransitionBlock,2025-01-26 14:10:20.017,2025-01-27 03:10:20.017000,2025-01-26 14:10:40.017,2025-01-27 03:10:40.017000,0.33333333333327886,,,['filter:i to g'],,
29P_22S01,2025-01-26 14:11:00.018,2025-01-27 03:11:00.018000,2025-01-26 14:25:20.018,2025-01-27 03:25:20.018000,14.33333333333323,10h03m18.06s,+9d08m42s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.25}",30,25
TransitionBlock,2025-01-26 14:25:20.018,2025-01-27 03:25:20.018000,2025-01-26 14:25:40.018,2025-01-27 03:25:40.018000,0.33333333333327886,,,['filter:g to r'],,
