target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
TransitionBlock,2022-12-13 09:59:20.006,2022-12-13 10:00:40.006,1.33,,,[],,,2
2022tiv_22S02,2022-12-13 10:00:40.006,2022-12-13 10:05:00.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-13 10:05:00.006,2022-12-13 10:09:20.006,4.33,,,['filter:V to R'],,,2
C2022_R6_22S01,2022-12-13 10:11:40.009,2022-12-13 10:15:00.009,3.33,3h17m19.26s,-42d47m22.4s,{'filter': 'R'},120,1,2
TransitionBlock,2022-12-13 10:15:00.009,2022-12-13 10:16:00.009,1.0,,,[],,,2
2022_QE78_22S01,2022-12-13 10:16:20.009,2022-12-13 10:58:20.009,42.0,3h26m16.83s,-21d12m32.5s,{'filter': 'R'},60,18,2
TransitionBlock,2022-12-13 10:58:20.009,2022-12-13 11:03:00.009,4.67,,,['filter:R to V'],,,3
2022wbc_22S02,2022-12-13 11:03:00.009,2022-12-13 11:07:20.009,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-13 11:07:20.009,2022-12-13 11:09:40.009,2.33,,,[],,,3
2021aefx_22S02,2022-12-13 11:09:40.009,2022-12-13 11:14:00.009,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-13 11:14:00.009,2022-12-13 11:16:00.009,2.0,,,[],,,3
2022ihz_22S02,2022-12-13 11:16:00.009,2022-12-13 11:20:20.009,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-13 11:20:20.009,2022-12-13 11:21:20.009,1.0,,,[],,,3
2022ydu_22S02,2022-12-13 11:21:20.009,2022-12-13 11:25:40.009,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-13 11:25:40.009,2022-12-13 11:26:40.009,1.0,,,[],,,3
2022xbu_22S02,2022-12-13 11:26:40.009,2022-12-13 11:31:00.009,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-13 11:31:00.009,2022-12-13 11:36:40.009,5.67,,,['filter:V to R'],,,3
C2022_F1_22S01,2022-12-13 11:36:40.009,2022-12-13 12:13:20.009,36.67,20h23m26.77s,-67d48m30.8s,{'filter': 'R'},120,11,3
TransitionBlock,2022-12-13 12:13:20.009,2022-12-13 12:15:40.009,2.33,,,[],,,4
C2019_F1_22S01,2022-12-13 12:15:40.009,2022-12-13 13:01:40.009,46.0,1h15m29.8s,-21d27m17.1s,{'filter': 'R'},30,25,4
TransitionBlock,2022-12-13 13:01:40.009,2022-12-13 13:03:20.009,1.67,,,[],,,4
C2014_UN271_22S01,2022-12-13 13:03:20.009,2022-12-13 13:10:20.009,7.0,2h33m15.85s,-61d15m04.5s,{'filter': 'R'},60,3,4
TransitionBlock,2022-12-13 13:10:20.009,2022-12-13 13:12:40.009,2.33,,,[],,,4
2022yxp_22S05,2022-12-13 13:12:40.009,2022-12-13 13:19:00.009,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,4
TransitionBlock,2022-12-13 13:19:00.009,2022-12-13 13:21:40.009,2.67,,,[],,,5
C2019_L3_22S01,2022-12-13 13:22:40.016,2022-12-13 14:12:40.016,50.0,10h00m13.62s,-27d15m31.3s,{'filter': 'R'},20,30,5
TransitionBlock,2022-12-13 14:12:40.016,2022-12-13 14:14:40.016,2.0,,,[],,,5
C2019_E3_22S01,2022-12-13 14:15:00.018,2022-12-13 14:57:00.018,42.0,7h27m22.21s,-75d39m38.2s,{'filter': 'R'},60,18,6
TransitionBlock,2022-12-13 14:57:00.018,2022-12-13 15:03:00.018,6.0,,,['filter:R to V'],,,6
2022yjy_22S05,2022-12-13 15:03:00.018,2022-12-13 15:09:20.018,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'V'},300,1,6
TransitionBlock,2022-12-13 15:09:20.018,2022-12-13 15:13:00.018,3.67,,,['filter:V to R'],,,6
C2021_A9_22S01,2022-12-13 15:18:20.020,2022-12-13 15:21:40.020,3.33,8h52m18.82s,+13d40m14.2s,{'filter': 'R'},120,1,7
TransitionBlock,2022-12-13 15:21:40.020,2022-12-13 15:22:40.020,1.0,,,[],,,7
2003_CC22_22S01,2022-12-13 15:23:00.021,2022-12-13 15:26:20.021,3.33,10h32m09.89s,+11d39m17.9s,{'filter': 'R'},120,1,7
TransitionBlock,2022-12-13 15:26:20.021,2022-12-13 15:27:00.021,0.67,,,[],,,7
157P_22S01,2022-12-13 15:27:20.021,2022-12-13 16:13:20.021,46.0,11h03m40.07s,-1d44m49.4s,{'filter': 'R'},30,25,7
