target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
C2022_F1_22S01,2022-12-03 11:54:40.011,2022-12-03 12:31:20.011,36.67,20h04m27.99s,-69d21m47.1s,{'filter': 'R'},120,11,4
TransitionBlock,2022-12-03 12:31:20.011,2022-12-03 12:33:40.011,2.33,,,[],,,4
C2019_F1_22S01,2022-12-03 12:33:40.011,2022-12-03 13:19:40.011,46.0,1h18m08.8s,-22d44m31.8s,{'filter': 'R'},30,25,5
TransitionBlock,2022-12-03 13:19:40.011,2022-12-03 13:21:40.011,2.0,,,[],,,5
C2021_Y1_22S01,2022-12-03 13:21:40.011,2022-12-03 13:30:00.011,8.33,4h15m04.21s,+10d19m19.4s,{'filter': 'R'},20,5,5
TransitionBlock,2022-12-03 13:30:00.011,2022-12-03 13:32:40.011,2.67,,,[],,,5
C2014_UN271_22S01,2022-12-03 13:32:40.011,2022-12-03 13:39:40.011,7.0,2h36m15.98s,-61d24m23.8s,{'filter': 'R'},60,3,5
TransitionBlock,2022-12-03 13:39:40.011,2022-12-03 13:42:00.011,2.33,,,[],,,6
2022yxp_22S05,2022-12-03 13:42:00.011,2022-12-03 13:48:20.011,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-03 13:48:20.011,2022-12-03 13:51:20.011,3.0,,,[],,,6
C2019_E3_22S01,2022-12-03 13:57:00.017,2022-12-03 14:39:00.017,42.0,7h44m33.61s,-74d50m50.1s,{'filter': 'R'},60,18,6
TransitionBlock,2022-12-03 14:39:00.017,2022-12-03 14:41:00.017,2.0,,,[],,,6
C2022_E2_22S01,2022-12-03 14:41:20.019,2022-12-03 15:27:20.019,46.0,10h33m14.8s,-19d52m07.1s,{'filter': 'R'},30,25,7
TransitionBlock,2022-12-03 15:27:20.019,2022-12-03 15:28:20.019,1.0,,,[],,,7
157P_22S01,2022-12-03 15:28:40.021,2022-12-03 16:14:40.021,46.0,10h52m21.45s,+1d04m25.3s,{'filter': 'R'},30,25,7
