snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2022nbm,19.4508,0.057912,g-ZTF,FINISHED,spec ia,NO,8,335.1092333,5.9918028,just get color,,,99,199,ZTF,,,,Elliptical,WISEA J222026.16+055930.4,2022-06-18 9:37:44,2022-06-20,ZTF,,,,,
2022nbi,18.17,0.030179,,ABANDON,spec ia,NO,,322.3029583,0.6209194,weathered out,,,99,"9,999",,,,,,,,,,,,,,
2022ngd,18.624,0.04,orange-ATLAS,ABANDON,spec ia,NO,,16.9383375,14.4222889,,,,99,195,ATLAS,,,,??,,2022-06-21 13:52:36,,SCAT,,,,,
2022ncc,19.32,0.055,,ABANDON,SN II,NO,,211.4136167,20.6411917,SN,,,99,"9,999",,,,,,,,,,,,,,
2022niw,19.69,0.032872,g-ZTF,ABANDON,phot ia,NO,,239.3199792,19.4744944,just get color,,0.032872,99,194,ZTF,,,,Elliptical?,WISEA J155716.50+192818.5,2022-06-23 6:42:00,,ATLAS,,,,,
2022nim,20.3653,0.042,g-ZTF,FINISHED,spec ia,NO,52,299.111275,-16.3695694,,,,99,196,ZTF,,,,Elliptical?,WISEA J195626.19-162214.8,2022-06-21 10:34:49,2022-07-03,ZTF,,,,,
2022nrk,20.2834,0.039681,g-ZTF,FINISHED,spec ia,NO,22,346.9560208,8.4905861,,,,99,190,ZTF,,,,Elliptical,,2022-06-27 9:22:37,2022-07-03,ZTF,,,,,
2022ocl,20.2929,0.07395,g-ZTF,ABANDON,phot ia,NO,20,199.9484583,0.3042111,elliptical,,0.07395035,99,189,ZTF,,,,Elliptical,SDSS J131947.42+001812.9,2022-06-28 5:10:32,2022-07-04,ALeRCE	,,,,,
2022oao,18.827,0.0497,orange-ATLAS,ABANDON,spec ia,NO,,198.66435,21.6540222,-8days,,,99,187,ATLAS,,,,Spiral?,,2022-06-30 7:48:16,,UCSC	,,,,,
2022ofp,20.5229,0.07,g-ZTF,ABANDON,photia,NO,,341.0140292,10.3030944,get color,,,99,186,ZTF,,,,Elliptical?,,2022-07-01 10:14:13,,?,,,,,
2022ogt,18.556,0.021415,orange-ATLAS,ABANDON,phot ia,NO,,201.7541542,-11.8879972,get color/elliptical,,,99,182,ATLAS,,,,Elliptical?,,2022-07-04 18:12:08,,?,,,,,
2022ogu,17.839,0.020704,cyan-ATLAS,ABANDON,spec ia ,NO,,301.1404792,-39.1190944,get color. 16th mag. ,,,99,184,ATLAS,,,,?,,2022-07-03 4:35:29,,SCAT	,,,,,
2022ooq,17.738,0.05164,,ABANDON,spec ia,NO,,15.8920917,-0.3551083,-2 days?,,,99,"9,999",,,,,,,,,,,,,,
2022oru,18.7564,0.035368,,ABANDON,spec ia ,NO,,337.5567167,-10.5053417,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022osg,18.5036,0.01858,,ABANDON,spec ia ,NO,,307.4542875,-2.0280972,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022pmq,,,,ABANDON,phot ia,NO,,236.8650583,-19.6785944,,,,99,"9,999",,,,,,,,,,,,,,
2022pdq,18.6983,0.034304,g-ZTF,FINISHED,spec ia,NO,,355.4707583,-8.6464194,,,0.034304,99,167,ZTF,,,,Spiral?,MCG -02-60-012,2022-07-20 10:06:32,2022-09-06,SCAT,,,,,
2022pag,,0.032,,ABANDON,spec ia,NO,,325.1713542,-7.5150167,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022ppj,20.7447,0.036827,r-ZTF,FINISHED,spec ia,NO,,12.3490167,19.9964806,,,,99,163,ZTF,,,,Elliptical,SDSS J004923.71+195939.1,2022-07-24 10:53:06,2022-09-08,ZTF,,,,,
2022pux,,,,ABANDON,II,NO,,320.2827,23.0829167,elliptical,,,99,"9,999",,,,,,,,,,,,,,
2022qku,19.01,0.025,w-P1,FINISHED,spec ia,NO,,321.7322958,-7.0169472,,,,99,154,Pan-STARRS,,,,Spiral,,2022-08-02 10:15:56,2022-09-12,SCAT,,,,,
2022qbp,19.21,0.05,r-ZTF,FINISHED,spec ia,NO,54,305.6199625,-14.7090861,,,,99,158,ZTF,,,,Elliptical,,2022-07-29 8:05:17,2022-09-12,SCAT,,,,,
2022qpp,19.689,0.013,cyan-ATLAS,FINISHED,spec ia,NO,46,291.9650125,-35.0448028,caught -2weeks,,,99,151,ATLAS,,,,?,,2022-08-04 22:45:46,2022-09-12,None,,,,,
2022qoa,20.38,0.061019,r-ZTF,FINISHED,spec ia,NO,57,334.3922958,-3.5554333,,,,99,158,ZTF,,,,Elliptical,,2022-07-29 8:23:59,2022-09-13,ZTF,,,,,
2022quf,,0.05,,ABANDON,spec ia,NO,,349.1348625,21.4064333,bad weather,,,99,"9,999",,,,,,,,,,,,,,
2022qjh,,0.037,,ABANDON,spec ia,NO,,312.8774083,-20.1702917,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022qzt,,,,ABANDON,phot ia,NO,,40.1012667,-17.2383333,longshot,,,99,"9,999",,,,,,,,,,,,,,
2022qke,19.4042,0.075,g-ZTF,FINISHED,spec ia,NO,51,16.3515,-2.3125194,,,,99,154,ZTF,,,,?,SDSS J010524.31-021844.3,2022-08-02 11:22:13,2022-09-13,DEbass	,,,,,
2022ptu,,,,ABANDON,phot ia,NO,,356.1090708,-15.7912833,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022qsp,,,,ABANDON,phot ia,NO,,41.6593167,-20.5884972,longshot,,,99,"9,999",,,,,,,,,,,,,,
2022qwx,18.429,0.024,g-ZTF,FINISHED,spec ia,NO,34,30.5333958,-20.4061,,,,99,149,ZTF,,,,Elliptical,WISEA J020208.00-202427.2,2022-08-07 10:30:05,2022-09-13,ZTF,,,,,
2022qsn,19.51,0.064,g-ZTF,FINISHED,spec ia,NO,60,40.74935,-19.1946028,,,,,,ZTF,,,,Elliptical,,2022-08-05 11:25:26,2022-09-13,ZTF,,,,,
2022qot,,0.095,,ABANDON,spec ia,NO,,334.0830633,-0.4493935,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2022rnu,19.17,0.063,g-ZTF,FINISHED,spec ia,NO,34,25.1810333,-14.4787778,,,,99,139,ZTF,,,,Eliptical?,,2022-08-17 11:29:46,2022-09-13,ZTF,,,,,
2022rky,18.34,0.029774,r-ZTF,FINISHED,spec ia,NO,39,318.6212375,-9.0476167,,,,99,138,ZTF,,,,Elliptical,,2022-08-18 7:22:05,2022-09-12,SCAT,,,,,
2022rfn,17.606,0.029,orange-ATLAS,FINISHED,spec ia,NO,59,287.8707458,-17.1854306,,,,99,143,ATLAS,,,,far to tell but it looks spiral ,,2022-08-13 9:29:33,2022-09-12,ZTF,,,,,
2022rid,,0.07,,ABANDON,spec ia,NO,,357.9420083,3.852575,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022rld,19.5685,0.089,r-ZTF,FINISHED,spec ia,NO,56,351.5032542,-9.0853083,just get color,,,99,138,ZTF,,,,too far to tell but it looks eliptical,SDSS J232600.80-090506.3,2022-08-18 7:17:02,2022-09-12,SCAT,,,,,
2022rnt,16.2,0.015,Clear-,FINISHED,spec ia,NO,7,284.1468542,-64.9287444,,,,99,136,MASTER,,,,?,,2022-08-20 2:49:45,2022-09-12,ePESSTO+	,,,,,
2022ryd,,0.025257,,ABANDON,phot ia,NO,,299.6561958,2.5998,very early. interesting.,,,99,"9,999",,,,,,,,,,,,,,
2022rso,19.6456,0.050768,g-ZTF,FINISHED,spec ia,NO,23,351.89935,16.6551333,,,,99,135,ZTF,,,,Elliptical,SDSS J232735.92+163915.8,2022-08-21 7:26:16,2022-09-13,ZTF,,,,,
2022slp,,0.02907,,ABANDON,phot ia,NO,,115.1197708,13.8756444,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022sum,20.33,0.046,r-ZTF,FINISHED,spec ia,NO,22,269.7421833,11.0085167,maybe missed peak,,,99,133,ZTF,,,,too far to tell?,,2022-08-23 5:55:41,2022-09-13,ZTF,,,,,
2022ssk,20.3,0.028678,g-ZTF,FINISHED,spec ia,NO,50,37.3689625,-5.8483694,-5 days. good one!,,,99,128,ZTF,,,,Spiral,,2022-08-28 10:35:02,2022-09-11,ZTF,,,,,
2022taw,18.96,0.07,g-ZTF,FINISHED,spec ia,NO,39,75.2944208,-10.5963167,just get color,,,99,"9,999",ZTF,,,,,,,,,,,,,
2022suc,20.72,0.08,w-P1,FINISHED,spec ia,NO,14,345.7821458,23.6463778,-4 days,,,99,125,Pan-STARRS,,,,Elliptical?,,2022-08-31 8:22:11,2022-09-13,SCAT,,,,,
2022ssj,20.08,0.076,g-ZTF,FINISHED,spec ia,NO,16,4.8940333,-17.5794806,-2 days,,,99,128,ZTF,,,,too far to tell but it looks elliptical,,2022-08-28 9:07:12,2022-09-14,ZTF,,,,,
2022ssh,,0.073,,ABANDON,spec ia,NO,,30.2748083,15.3214444,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022sxr,20.2023,0.056089,r-ZTF,ABANDON,phot ia,NO,51,36.5753958,-5.0816083,"flyer, eliptical but dont know if rising",,0.056089,99,123,ZTF,,,,Elliptical,WISEA J022617.44-050443.5,2022-09-02 11:04:42,2022-09-13,no data,,,,,
2022szg,20.28,0.06,g-ZTF,FINISHED,spec ia,NO,1,33.0432292,-6.2108639,-5 days,,,99,126,ZTF,,,,Elliptical,,2022-08-30 10:52:19,2022-09-14,Global SN Project	,,,,,
2022tqx,18.774,0.02457,orange-ATLAS,ABANDON,phot ia,NO,5,25.5574958,-36.5471444,missed weather,,,99,119,ATLAS,,,,Spiral,,2022-09-06 1:29:50,2022-09-10,no data,,,,,
2022trz,18.707,0.0387,orange-ATLAS,FINISHED,spec ia,NO,39,94.4984458,-74.2083194,just get color,,,99,119,ATLAS,,,,Spiral,,2022-09-06 6:33:03,2022-09-13,DEbass,,,,,
2022tvz,17.976,0.0233,orange-ATLAS,FINISHED,spec ia,NO,6,298.7568833,-21.0992222,,,,99,115,ATLAS,,,,Spiral,,2022-09-09 20:31:03,2022-09-13,DEbass,,,,,
2022uaw,19.747,,orange-ATLAS,ABANDON,spec ia,NO,55,99.9412417,-32.8371917,max was sep 15,,,99,113,ATLAS,,,,?,,2022-09-12 7:35:50,2022-09-13,no data ,,,,,
2022ucj,18.188,0.032,orange-ATLAS,ABANDON,spec ia,NO,,67.7131292,-16.306125,,,,99,111,ATLAS,,,,Spiral,,2022-09-14 2:44:44,,QUB,,,,,
2022udc,18.218,0.05,orange-ATLAS,ABANDON,spec ia,NO,,65.9631917,-10.3084389,,,,99,110,ATLAS,,,,Spiral,,2022-09-14 14:31:36,,SCAT,,,,,
2022wcy,20.6358,0.067,g-ZTF,FINISHED,spec ia,NO,16,34.155175,10.2525222,-7days,,,73,99,ZTF,,,,Elliptical ,,2022-09-26 10:21:39,2022-10-22,ZTF,,,,,
2022wcm,19.0727,0.042,r-ZTF,FINISHED,spec ia,NO,13,357.8868125,8.738,-8 days,,,94,97,ZTF,,,,Elliptical ,,2022-09-28 5:36:09,2022-10-01,ZTF,,,,,
2022vrj,19.22,0.04,g-ZTF,FINISHED,spec ia,NO,7,23.2446875,18.0761056,-4 days,,,94,101,ZTF,,,,Elliptical ,,2022-09-24 8:57:07,2022-10-01,ZTF,,,,,
2022vqx,19.76,0.046,r-ZTF,ABANDON,spec ia,NO,62,112.1779667,17.250475,-2 days,,,67,104,ZTF,,,,Elliptical ,,2022-09-21 10:53:46,2022-10-28,ZTF,,,,,
2022vpn,20.222,0.063,g-ZTF,FINISHED,spec ia,NO,36,335.5930792,25.839925,-5 days (northern),,,94,102,ZTF,,,,Elliptical ,SDSS J222222.26+255022.4,2022-09-23 5:25:25,2022-10-01,ZTF,,,,,
2022wsp,,0.007,,ABANDON,II,NO,,345.0147375,15.9785139,16th mag,,,99,"9,999",,,,,,,,,,,,,,
2022wsr,,0.018,,ABANDON,II,NO,,354.4685417,-3.4906639,,,,99,"9,999",,,,,,,,,,,,,,
2022wtn,,,,ABANDON,phot ia,NO,,350.84905,10.6855083,,,,99,"9,999",,,,,,,,,,,,,,
2022whp,19.152,0.054,cyan-ATLAS,FINISHED,spec ia,NO,27,100.0106667,-22.2957056,,,,90,96,ATLAS,,,,Elliptical ,,2022-09-29 1:47:02,2022-10-05,SCAT,,,,,
2022wpy,18.968,0.0152,orange-ATLAS,FINISHED,spec ia,NO,40,71.6167375,-4.7898833,-5 days on oct 13th,,,90,92,ATLAS,,,,Spiral,,2022-10-03 6:40:34,2022-10-05,ZTF,,,,,
2022wxo,19.07,0.05,g-ZTF,FINISHED,spec ia,NO,27,29.073625,-7.6994722,-4days,,,88,92,ZTF,,,,Elliptical ,,2022-10-03 8:49:55,2022-10-07,ZTF,,,,,
2022wsu,17.2,0.027,w-P1,FINISHED,spec ia,NO,26,34.04855,17.9709556,-2days,,,88,93,Pan-STARRS,,,,Elliptical ,,2022-10-02 10:02:34,2022-10-07,QUB,,,,,
2022wwt,18.071,0.0198,ATLAS,FINISHED,spec ia,NO,46,267.1178375,-60.5748028,,,,88,93,ATLAS,,,,?,,2022-10-01 17:35:50,2022-10-07,DEbass,,,,,
2022wsq,,0.038,,ABANDON,spec ia,NO,,19.9980947,15.602735,,,,99,"9,999",,,,,,,,,,,,,,
2022xhh,,,,ABANDON,91bg,NO,,64.1733917,-12.1836083,,,,99,"9,999",,,,,,,,,,,,,,
2022xbd,,,,ABANDON,phot ia,NO,,93.6633667,-31.3157722,,,,99,"9,999",,,,,,,,,,,,,,
2022xaw,,,,ABANDON,spec ia,NO,,343.1827833,16.0841778,,,,99,"9,999",,,,,,,,,,,,,,
2022xix,19.26,0.024,r-ZTF,FINISHED,spec ia,NO,14,63.7809792,-0.9332611,-6 days,,,82,85,ZTF,,,,Spiral?,,2022-10-10 10:35:02,2022-10-13,ZTF,,,,,
2022xhd,19.82,0.043,g-ZTF,FINISHED,spec ia,NO,56,54.8841625,-17.6643861,,,,79,87,ZTF,,,,Spiral?,,2022-10-08 11:29:46,2022-10-16,ePESSTO+,,,,,
2022xku,,,,ABANDON,phot ia,NO,,60.7505792,-53.3177056,elliptical,,,99,"9,999",,,,,,,,,,,,,,
2022xkr,,,,ABANDON,spec ia,NO,,56.8372208,-46.9329167,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022xgl,,,,ABANDON,91bg like,NO,,338.3766708,-26.2373833,flyer,,,99,"9,999",,,,,,,,,,,,,,
2022xkt,,0.014,,ABANDON, SN Ic,NO,,38.3304792,22.3933278,,,,99,"9,999",,,,,,,,,,,,,,
2022xjl,,0.061,,ABANDON,spec ia,NO,,359.299125,5.6047778,barely caught peak,,,99,"9,999",,,,,,,,,,,,,,
2022xxz,18.6,0.06,,FINISHED,spec ia,NO,18,335.1664083,-16.1794889,-4,,,76,79,ATLAS,,,,?,,2022-10-16 7:43:49,2022-10-19,SCAT,,,,,
2022xqq,,0.08,,ABANDON,spec ia,NO,,342.0240167,11.8473111,-4 on wed oct 19,,,99,"9,999",,,,,,,,,,,,,,
2022xpr,,0.05,,ABANDON,spec ia,NO,,322.8629042,3.9324806,-4 on wed oct 19,,,99,"9,999",,,,,,,,,,,,,,
2022xoz,18.84,0.038,r-ZTF,FINISHED,spec ia,NO,52,42.6067542,5.7937778,-5 on wed oct 19,,,76,82,ZTF,,,,Elliptical,,2022-10-13 9:10:05,2022-10-19,ZTF,,,,,
2022ydl,,0.07,,ABANDON,spec ia,NO,,340.0184833,-6.6412472,-2 days on oct 25,,,99,"9,999",,,,,,,,,,,,,,
2022yrt,19.87,0.05,g-ZTF,FINISHED,spec ia,NO,39,132.1189458,1.3973111,-3 days on oct 28,,,67,75,ZTF,,,,Elliptical,,2022-10-20 11:09:36,2022-10-28,TCD,,,,,
2022yjy,20.1929,0.055,g-ZTF,FINISHED,spec ia,NO,14,115.4202625,8.9985639,-5  days on oct 28,,,67,73,ZTF,,,,Elliptical,WISEA J074140.95+085955.8,2022-10-22 11:06:00,2022-10-28,ZTF,,,,,
2022xzm,,0.017949,,ABANDON,spec ia,NO,,4.2408583,22.5246806,-4 days on oct 28,,,99,"9,999",,,,,,,,,,,,,,
2022yyc,,0.062,,ABANDON,spec ia,NO,,332.4345917,9.1757111,-7days on oct 31,,,99,"9,999",,,,,,,,,,,,,,
2022yxp,19.6079,0.027936,r-ZTF,FINISHED,spec ia,NO,10,74.0234333,1.8185833,-7 days on oct 31,,0.027936,64,67,ZTF,,,,Elliptical,WISEA J045605.72+014912.9,2022-10-28 10:37:30,2022-10-31,ZTF,,,,,
2022ywf,19.95,0.007552,r-ZTF,FINISHED,spec ia,NO,46,20.5508167,0.9565778,-10days on oct 31,,,64,67,ZTF,,,,Spiral,,2022-10-28 4:22:05,2022-10-31,ZTF,,,,,
2022yvv,19.92,0.022173,g-ZTF,FINISHED,spec ia,NO,26,40.4292375,-22.8142583,YSE SN: -8 days on oct 31,,,64,69,ZTF,,,,Spiral?,,2022-10-26 8:34:05,2022-10-31,ePESSTO+,,,,,
2022yrs,,0.063,,ABANDON,SN Ia-91T-like,NO,,56.1440125,-27.5092889,-5 days on oct 31,,,99,"9,999",,,,,,,,,,,,,,
2022ypd,19.2327,0.0198,g-ZTF,ABANDON,spec ia,NO,35,307.8603708,-1.9785917,weather,,0.020102,61,70,ZTF,,,,Elliptical,MCG+00-52-030,2022-10-25 5:29:06,2022-11-03,ZTF,,,,,
2022zue,,0.028823,,ABANDON,phot ia,NO,,159.4045375,-7.2703444,-5days on Nov 9,,,99,"9,999",,,,,,,,,,,,,,
2022zvr,17.6804,0.020715,r-ZTF,ABANDON,spec ia,NO,,174.6358208,-1.1804083,never got,,0.02075547,99,53,ZTF,,,,Spiral,SDSS J113833.27-011104.1,2022-11-10 12:42:49,,ZTF,,,,,
2022zut,14.55,0.003309,orange-ATLAS,ABANDON,spec ia,NO,,175.2451083,11.4696889,never got,,,99,54,ATLAS,,,,Spiral ,,2022-11-09 14:36:57,,SGLF,,,,,
2022zxj,18.1203,0.065489,g-ZTF,ABANDON,spec ia,NO,,0.2149167,-2.3007806,never got,,,99,53,ZTF,,,,Spiral?,SDSS J000050.99-021802.3,2022-11-11 5:13:27,,SCAT,,,,,
2022aahz,19.84,0.075529,r-ZTF,ABANDON,phot ia,NO,,186.4776917,6.7508583,never got,,,99,51,ZTF,,,,?,,2022-11-12 12:44:38,,ZTF,,,,,
2022aajn,18.846,0.043,r-ZTF,YES,spec ia,NO,36,107.0648292,21.0726194,northern. -7days on nov 18,,,46,49,ZTF,,,,Elliptical?,WISEA J070815.11+210422.3,2022-11-15 9:49:16,2022-11-18,SCAT,,,,,
2022aacq,17.94,0.047,r-ZTF,ABANDON,spec ia,NO,,189.3545042,-5.4070528,never got,,,99,51,ZTF,,,,Elliptical?,,2022-11-12 13:01:55,,ZTF,,,,,
2022aaiw,18.414,0.055,orange-ATLAS,ABANDON,spec ia,NO,,92.5465458,-27.5981028,never got,,,99,50,ATLAS,,,,Elliptical?,,2022-11-14 5:48:06,,ePESSTO+,,,,,
2022aanf,19.138,0.024,orange-ATLAS,ABANDON,spec ia,NO,,62.2901042,17.1164028,never got,,,99,48,ATLAS,,,,Spiral,,2022-11-16 11:09:46,,LiONS,,,,,
2022abid,17.4,0.01478,orange-ATLAS,YES,spec ia,NO,,31.8312208,-25.4406583,-8 days on nov 24,,,99,41,ATLAS,,,,Elliptical,,2022-11-23 2:50:54,,none,,,,,
2022abic,18.526,0.014593,cyan-ATLAS,YES,spec ia,NO,,44.7886958,-4.4711778,-5 days on nov 24,,,99,41,ATLAS,,,,Spiral,,2022-11-23 9:13:27,,ZTF,,,,,
2022abgg,19.066,0.069,orange-ATLAS,YES,spec ia,NO,,35.7537083,-9.1969694,-5 days on nov 24,,,99,42,ATLAS,,,,?,,2022-11-22 3:58:16,,ZTF	,,,,,
2022abdh,18.48,0.019937,g-ZTF,YES,spec ia,NO,,129.7835208,-8.8632389,-4 days on nov 24,,,99,43,ZTF,,,,Spiral,,2022-11-21 10:30:43,,TCD,,,,,
2022acwj,,0.016,,YES,spec ia,NO,,138.6014208,-33.3374444,-6 days on dec 12,,,,,,,,,,,,,,,,,,
2022acyd,,0.032889,,YES,SN II,NO,,60.2973375,5.5485417,,,,99,"9,999",,,,,,,,,,,,,,
2022adbx,,0.014571,,YES,spec ia,NO,,170.64,20.6999806,-5 days on dec 18,,,99,"9,999",,,,,,,,,,,,,,
2022acyi,,0.05109,,YES,phot ia,NO,,18.8083708,6.8214611,-8 days on dec 18,,,99,"9,999",,,,,,,,,,,,,,
2022acxe,,0.016575,,ABANDON,spec ia,NO,,334.7010875,-3.4891972,setting,,,99,"9,999",,,,,,,,,,,,,,
2022aczs,,0.041108,,YES,spec ia,NO,,31.3326417,-23.6981639,-5 days on dec 18,,,99,"9,999",,,,,,,,,,,,,,
2022aduk,,0.038,,YES,spec ia,NO,,159.693925,-17.5618944,-8days on dec 24,,,99,"9,999",,,,,,,,,,,,,,
2022adgh,,0.073,,ABANDON,spec ia,NO,,27.6785417,8.0474833,-3days on dec 24,,,99,"9,999",,,,,,,,,,,,,,
2022adfo,,0.040283,,ABANDON,phot ia,NO,,200.4002792,10.093075,elliptical,,,99,"9,999",,,,,,,,,,,,,,
2022adpu,,0.015461,,YES,spec ia,NO,,174.1995125,-8.5879083,nearby -5days on dec 24,,,99,"9,999",,,,,,,,,,,,,,
2022aebx,,0.040932,,ABANDON,phot ia,NO,,15.8213417,14.0343222,caught behind moon,,,99,"9,999",,,,,,,,,,,,,,
2022aecb,,0.02,,YES,91bg,NO,,74.7593917,-0.4419583,-8 days on dec 27. elliptical,,,99,"9,999",,,,,,,,,,,,,,
2022advr,,0.032943,,YES,SN II,NO,,155.7041333,3.7552389,spiral,,,99,"9,999",,,,,,,,,,,,,,
2022aecr,,0.050881,,YES,spec ia,NO,,145.6723375,9.9083278,meh,,,99,"9,999",,,,,,,,,,,,,,
2022aebw,,0.04,,YES,spec ia,NO,,129.6946125,5.2798278,,,,99,"9,999",,,,,,,,,,,,,,
2022adyj,,0.026975,,YES,spec ia,NO,,104.6534167,12.6690139,might have missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022aeed,,0.072087,,YES,spec ia,NO,,61.8915667,-31.4719333,might be lensed,,,99,"9,999",,,,,,,,,,,,,,
2023E,,0.024347,,YES,phot ia,NO,,18.9823167,-50.1874722,bright,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
