snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021hwk,18.9903,0.041,r-ZTF,FINISHED,spec ia,NO,11,214.7613339,-7.3905934,,,-,99,640,ZTF,,,,Elliptical,LEDA 1019808,2021-04-03,2021-04-08,ePESSTO+,,,,,
2021ipb,20.992,0.036912,g-ZTF,FINISHED,spec ia,NO,9,240.8874486,14.55224117,,,-,99,637,ZTF,,,,Elliptical?,-,2021-04-06,2021-04-08,ZTF,,,,,
2021igt,19.712,0.075382,cyan-ATLAS,FINISHED,spec ia,NO,54,191.2505377,21.14171747,,,-,99,638,ATLAS,,,,Elliptical,-,2021-04-05 9:17:17,2021-04-11,ZTF,,,,,
2021ipk,19.598,,,ABANDON,?,NO,17,184.3791209,-14.18198488,,,-,,635,ATLAS,,,,Elliptical,-,2021-04-08 10:14:53,2021-04-14,?,skip on 04/14,,,,
2021inj,19.3333,0.041,g-ZTF,FINISHED,spec ia,NO,16,241.4124943,3.071941517,,,0.041,99,636,ZTF,,,,Spiral,UGC 10184,2021-04-07 10:36:17,2021-04-11,ePESSTO+,,,,,
2021ipj,19.815,0.11,,ABANDON,SN Ia-91T-like,NO,,164.9488375,-7.0077056,,,-,,635,ATLAS,,,,Elliptical,-,2021-04-08 8:52:48,,YSE,skip on 04/14. missed peak,,,,
2021ill,19.242,0.056,cyan-ATLAS,FINISHED,spec ia,YES,29,139.938917,-30.877989,,,-,99,636,ATLAS,,,,Elliptical?,-,2021-04-07 7:29:17,2021-04-11,ePESSTO+,,,,,
2021ify,20.4655,0.056,r-ZTF,FINISHED,spec ia,NO,27,261.7237293,13.17884771,,,-,99,640,ZTF,,,,Elliptical,-,2021-04-03 11:06:15,2021-04-11,ePESSTO+,,,,,
2021iov,19.297,0.053944,cyan-ATLAS,FINISHED,spec ia,YES,34,141.6618652,-7.087174,,,-,99,635,ATLAS,,,,Spiral,-,2021-04-08 7:58:05,2021-04-14,ZTF,,,,,
2021ixi,19.465,0.02,,ABANDON,SN Ia-91T-like,NO,,262.8155363,5.4395577,,,-,,633,ZTF,,,,?,WISEA J173116.20+052625.4,2021-04-10 9:59:41,,ZTF,91t like,,,,
2021ita,20.679,0.154,,ABANDON,spec ia ,NO,,186.4950889,7.235303575,,,-,,640,ZTF,,,,Elliptical,SDSS J122558.81+071407.0,2021-04-03 7:08:01,,UCSC,,,,,
2021jad,15.419,0.0055,cyan-ATLAS,FINISHED,spec ia,YES,36,83.342405,-21.95181813,,,-,99,632,ATLAS,,257.B.a,,Spiral,-,2021-04-11 5:36:58,2021-04-12,ePESSTO+,,,,,
2021jap,20.5412,0.03,g-ZTF,FINISHED,spec ia,NO,6,163.7665753,-8.7458692,,,-,99,634,ZTF,,,,Elliptical,LEDA 999713,2021-04-09 5:33:53,2021-04-14,ZTF,,,,,
2021iuk,19.769,0.08,cyan-ATLAS,FINISHED,spec ia,NO,43,186.4935911,6.740841507,,,-,99,634,ATLAS,,,,Elliptical?,-,2021-04-09 10:27:50,2021-04-14,UCSC,,,,,
2021haz,17.7157,,,YSE,?,NO,36,235.4718119,10.1050809,,,-,,650,ZTF,,531.E.a,,Elliptical,SDSS J154153.12+100620.2,2021-03-24 8:24:12,2021-03-30,?,,,,,
2021dnm,20.113,0.046105,,ABANDONED,spec ia,NO,10,189.3508894,23.09353965,,,0.0460705,,682,ZTF,,575.A.a,,Elliptical,SDSS J123724.03+230539.1,2021-02-20 8:55:51,2021-02-26,ZTF,,,,,
2021jwl,20.3337,0.038,r-ZTF,FINISHED,spec ia,NO,20,233.8927522,5.392282441,,,0.03839,99,630,ZTF,,,,Spiral,WISEA J153534.43+052335.0,2021-04-13 10:29:04,2021-04-17,ePESSTO+,,,,,
