target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
C2022_R6_22S01,2022-12-06 10:41:20.010,2022-12-06 10:44:40.010,3.33,3h19m27.74s,-42d59m28.7s,{'filter': 'R'},120,1,2
TransitionBlock,2022-12-06 10:44:40.010,2022-12-06 10:45:40.010,1.0,,,[],,,2
2022_QE78_22S01,2022-12-06 10:46:00.010,2022-12-06 11:28:00.010,42.0,3h28m22.02s,-21d23m59s,{'filter': 'R'},60,18,3
TransitionBlock,2022-12-06 11:28:00.010,2022-12-06 11:30:40.010,2.67,,,[],,,3
C2022_F1_22S01,2022-12-06 11:30:40.010,2022-12-06 12:07:20.010,36.67,20h10m24.12s,-68d53m01.6s,{'filter': 'R'},120,11,3
TransitionBlock,2022-12-06 12:07:20.010,2022-12-06 12:09:40.010,2.33,,,[],,,4
C2019_F1_22S01,2022-12-06 12:09:40.010,2022-12-06 12:55:40.010,46.0,1h17m11.49s,-22d21m23s,{'filter': 'R'},30,25,4
TransitionBlock,2022-12-06 12:55:40.010,2022-12-06 12:59:40.010,4.0,,,[],,,4
C2019_L3_22S01,2022-12-06 13:03:40.016,2022-12-06 13:53:40.016,50.0,10h00m33.37s,-25d49m28s,{'filter': 'R'},20,30,5
TransitionBlock,2022-12-06 13:53:40.016,2022-12-06 13:55:40.016,2.0,,,[],,,5
C2019_E3_22S01,2022-12-06 13:56:00.017,2022-12-06 14:38:00.017,42.0,7h39m38.93s,-75d07m08.9s,{'filter': 'R'},60,18,6
TransitionBlock,2022-12-06 14:38:00.017,2022-12-06 14:40:00.017,2.0,,,[],,,6
C2022_E2_22S01,2022-12-06 14:40:20.019,2022-12-06 15:26:20.019,46.0,10h32m40.59s,-19d55m58.8s,{'filter': 'R'},30,25,7
TransitionBlock,2022-12-06 15:26:20.019,2022-12-06 15:27:20.019,1.0,,,[],,,7
157P_22S01,2022-12-06 15:27:40.021,2022-12-06 16:13:40.021,46.0,10h56m08.3s,+0d11m13.8s,{'filter': 'R'},30,25,7
