target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
2022wbc_22S02,2022-12-05 11:00:20.010,2022-12-05 11:04:40.010,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-05 11:04:40.010,2022-12-05 11:05:40.010,1.0,,,[],,,3
2022ywf_22S02,2022-12-05 11:05:40.010,2022-12-05 11:10:00.010,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-05 11:10:00.010,2022-12-05 11:12:00.010,2.0,,,[],,,3
2021aefx_22S02,2022-12-05 11:12:00.010,2022-12-05 11:16:20.010,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-05 11:16:20.010,2022-12-05 11:18:00.010,1.67,,,[],,,3
2022yrs_22S05,2022-12-05 11:23:40.012,2022-12-05 11:30:00.012,6.33,3h44m34.563s,-27d30m33.44004s,{'filter': 'V'},300,1,3
TransitionBlock,2022-12-05 11:30:00.012,2022-12-05 11:33:00.012,3.0,,,['filter:V to R'],,,3
2022yrs_22S05,2022-12-05 11:33:00.012,2022-12-05 11:39:20.012,6.33,3h44m34.563s,-27d30m33.44004s,{'filter': 'R'},300,1,3
TransitionBlock,2022-12-05 11:39:20.012,2022-12-05 11:40:20.012,1.0,,,[],,,3
2022abic_22S05,2022-12-05 11:40:20.012,2022-12-05 11:46:40.012,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1,3
TransitionBlock,2022-12-05 11:46:40.012,2022-12-05 11:47:40.012,1.0,,,[],,,3
2022aanf_22S05,2022-12-05 11:48:40.013,2022-12-05 11:55:00.013,6.33,4h09m09.625008s,+17d06m59.05008s,{'filter': 'R'},300,1,3
TransitionBlock,2022-12-05 11:55:00.013,2022-12-05 11:58:00.013,3.0,,,['filter:R to V'],,,4
2022aanf_22S05,2022-12-05 11:58:00.013,2022-12-05 12:04:20.013,6.33,4h09m09.625008s,+17d06m59.05008s,{'filter': 'V'},300,1,4
TransitionBlock,2022-12-05 12:04:20.013,2022-12-05 12:06:20.013,2.0,,,[],,,4
2022ihz_22S02,2022-12-05 12:06:20.013,2022-12-05 12:10:40.013,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,4
TransitionBlock,2022-12-05 12:10:40.013,2022-12-05 12:12:00.013,1.33,,,[],,,4
2022abic_22S05,2022-12-05 12:12:00.013,2022-12-05 12:18:20.013,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1,4
TransitionBlock,2022-12-05 12:18:20.013,2022-12-05 12:22:00.013,3.67,,,['filter:V to R'],,,4
2022abgg_22S05,2022-12-05 12:22:00.013,2022-12-05 12:28:20.013,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1,4
TransitionBlock,2022-12-05 12:28:20.013,2022-12-05 12:32:40.013,4.33,,,['filter:R to V'],,,4
2022yxp_22S05,2022-12-05 12:35:20.014,2022-12-05 12:41:40.014,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'V'},300,1,4
TransitionBlock,2022-12-05 12:41:40.014,2022-12-05 12:44:40.014,3.0,,,['filter:V to R'],,,4
2022yxp_22S05,2022-12-05 12:44:40.014,2022-12-05 12:51:00.014,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,4
TransitionBlock,2022-12-05 12:51:00.014,2022-12-05 12:55:20.014,4.33,,,['filter:R to V'],,,4
2022abgg_22S05,2022-12-05 12:55:20.014,2022-12-05 13:01:40.014,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'V'},300,1,5
TransitionBlock,2022-12-05 13:01:40.014,2022-12-05 13:02:20.014,0.67,,,[],,,5
2022xbu_22S02,2022-12-05 13:02:20.014,2022-12-05 13:06:40.014,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1,5
TransitionBlock,2022-12-05 13:06:40.014,2022-12-05 13:11:40.014,5.0,,,['filter:V to R'],,,5
C2014_UN271_22S01,2022-12-05 13:11:40.014,2022-12-05 13:18:40.014,7.0,2h35m45.81s,-61d23m16.8s,{'filter': 'R'},60,3,5
TransitionBlock,2022-12-05 13:18:40.014,2022-12-05 13:21:20.014,2.67,,,[],,,5
C2021_Y1_22S01,2022-12-05 13:21:20.014,2022-12-05 13:29:40.014,8.33,4h12m23.8s,+9d30m38.6s,{'filter': 'R'},20,5,5
TransitionBlock,2022-12-05 13:29:40.014,2022-12-05 13:31:40.014,2.0,,,[],,,5
C2022_R6_22S01,2022-12-05 13:31:40.014,2022-12-05 13:35:00.014,3.33,3h19m57.44s,-43d01m25.9s,{'filter': 'R'},120,1,5
TransitionBlock,2022-12-05 13:35:00.014,2022-12-05 13:39:00.014,4.0,,,['filter:R to V'],,,5
2022xhd_22S05,2022-12-05 13:39:00.014,2022-12-05 13:45:20.014,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'V'},300,1,5
TransitionBlock,2022-12-05 13:45:20.014,2022-12-05 13:46:40.014,1.33,,,[],,,5
2022aaiw_22S05,2022-12-05 13:49:00.017,2022-12-05 13:55:20.017,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'V'},300,1,5
TransitionBlock,2022-12-05 13:55:20.017,2022-12-05 13:58:20.017,3.0,,,['filter:V to R'],,,5
2022aaiw_22S05,2022-12-05 13:58:20.017,2022-12-05 14:04:40.017,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-05 14:04:40.017,2022-12-05 14:06:00.017,1.33,,,[],,,6
2022xhd_22S05,2022-12-05 14:06:00.017,2022-12-05 14:12:20.017,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-05 14:12:20.017,2022-12-05 14:16:00.017,3.67,,,['filter:R to V'],,,6
2022xix_22S05,2022-12-05 14:16:00.017,2022-12-05 14:22:20.017,6.33,4h15m07.435008s,-0d55m59.73996s,{'filter': 'V'},300,1,6
TransitionBlock,2022-12-05 14:22:20.017,2022-12-05 14:24:40.017,2.33,,,[],,,6
2022abdh_22S05,2022-12-05 14:26:40.019,2022-12-05 14:33:00.019,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'V'},300,1,6
TransitionBlock,2022-12-05 14:33:00.019,2022-12-05 14:36:00.019,3.0,,,['filter:V to R'],,,6
2022abdh_22S05,2022-12-05 14:36:20.019,2022-12-05 14:42:40.019,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-05 14:42:40.019,2022-12-05 14:47:00.019,4.33,,,['filter:R to V'],,,6
2022aajn_22S05,2022-12-05 14:47:20.019,2022-12-05 14:53:40.019,6.33,7h08m15.559008s,+21d04m21.42984s,{'filter': 'V'},300,1,6
TransitionBlock,2022-12-05 14:53:40.019,2022-12-05 14:56:40.019,3.0,,,['filter:V to R'],,,6
2022aajn_22S05,2022-12-05 14:56:40.019,2022-12-05 15:03:00.019,6.33,7h08m15.559008s,+21d04m21.42984s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-05 15:03:00.019,2022-12-05 15:07:20.019,4.33,,,['filter:R to V'],,,7
2022yrt_22S05,2022-12-05 15:13:00.020,2022-12-05 15:19:20.020,6.33,8h48m28.546992s,+1d23m50.31996s,{'filter': 'V'},300,1,7
TransitionBlock,2022-12-05 15:19:20.020,2022-12-05 15:20:00.020,0.67,,,[],,,7
2022yjy_22S05,2022-12-05 15:20:20.021,2022-12-05 15:26:40.021,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'V'},300,1,7
TransitionBlock,2022-12-05 15:26:40.021,2022-12-05 15:29:40.021,3.0,,,['filter:V to R'],,,7
2022yjy_22S05,2022-12-05 15:29:40.021,2022-12-05 15:36:00.021,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'R'},300,1,7
TransitionBlock,2022-12-05 15:36:00.021,2022-12-05 15:36:40.021,0.67,,,[],,,7
C2021_A9_22S01,2022-12-05 15:37:40.021,2022-12-05 15:41:00.021,3.33,8h57m10.63s,+13d36m37.9s,{'filter': 'R'},120,1,7
TransitionBlock,2022-12-05 15:41:00.021,2022-12-05 15:41:40.021,0.67,,,[],,,7
2022yrt_22S05,2022-12-05 15:42:00.021,2022-12-05 15:48:20.021,6.33,8h48m28.546992s,+1d23m50.31996s,{'filter': 'R'},300,1,7
TransitionBlock,2022-12-05 15:48:20.021,2022-12-05 15:50:00.021,1.67,,,[],,,7
2022zvr_22S05,2022-12-05 15:50:20.022,2022-12-05 15:56:40.022,6.33,11h38m32.596992s,-1d10m49.46988s,{'filter': 'R'},300,1,7
TransitionBlock,2022-12-05 15:56:40.022,2022-12-05 15:59:40.022,3.0,,,['filter:R to V'],,,7
2022zvr_22S05,2022-12-05 16:00:00.022,2022-12-05 16:06:20.022,6.33,11h38m32.596992s,-1d10m49.46988s,{'filter': 'V'},300,1,7
TransitionBlock,2022-12-05 16:06:20.022,2022-12-05 16:10:20.022,4.0,,,['filter:V to R'],,,8
2003_CC22_22S01,2022-12-05 16:10:40.022,2022-12-05 16:14:00.022,3.33,10h28m57.27s,+11d44m58.2s,{'filter': 'R'},120,1,8
